index,area,time,profit,distance,shape,profit_lo,profit_up,profit_be,time_be
76.0,46.0,8000.0,4669.331922239756,149.9,Polygon(136 Points),4645.303198985446,4669.319735765156,4669.319735765156,19.210072105805935
77.0,46.0,8000.0,11088.60053321349,102.6,Polygon(203 Points),11031.537784638876,11088.57159311007,11088.57159311007,48.37677434630321
78.0,46.0,8000.0,5270.505105490134,112.8,Polygon(229 Points),5243.382701107817,5270.491350015548,5270.491350015548,22.698053189021042
79.0,46.0,8000.0,6216.3772967544155,95.4,Polygon(156 Points),6184.387364962111,6216.361072650992,6216.361072650992,27.37231829427813
80.0,106.0,3199.99,6096.9035482299205,55.9,Polygon(15 Points),6081.024152747088,5866.771730355117,6081.024152747088,32.28893376006732
81.0,106.0,3199.99,33128.181474188226,88.7,Polygon(46 Points),33041.899070162275,31877.735478900227,33041.899070162275,167.95923883764647
82.0,106.0,3199.99,6649.501994769775,82.5,Polygon(33 Points),6632.183355709217,6398.511968453422,6632.183355709217,33.98697053237472
83.0,106.0,3199.99,7992.577080381835,52.8,Polygon(216 Points),7971.760400015742,7690.891761192759,7971.760400015742,42.50740129091134
84.0,106.0,3199.99,9679.997794694344,119.2,Polygon(149 Points),9654.786224257165,9314.619620036514,9654.786224257165,47.20445257170393
85.0,106.0,3199.99,12404.6273077822,42.8,Polygon(150 Points),12372.319435223746,11936.40611815421,12372.319435223746,66.88500425873616
86.0,106.0,3199.99,7347.000632172238,78.9,Polygon(201 Points),7327.865356744642,7069.683040047955,7327.865356744642,37.73016519936728
87.0,106.0,3199.99,18219.81500341636,88.5,Polygon(224 Points),18172.361464784073,17532.0955545338,18172.361464784073,92.39814950705328
88.0,106.0,3199.99,13297.640672171532,85.4,Polygon(195 Points),13263.006944812783,12795.712078890569,13263.006944812783,67.70945494265509
89.0,106.0,3199.99,4466.275177120077,96.2,Polygon(139 Points),4454.642755955529,4297.692548658101,4454.642755955529,22.425132684851615
90.0,106.0,3199.99,15629.431019383794,51.9,Polygon(24 Points),15588.72414016795,15039.4873956432,15588.72414016795,83.22515319634117
91.0,106.0,3199.99,12557.934956347577,66.8,Polygon(43 Points),12525.22779376217,12083.927064079571,12525.22779376217,65.53557321324705
92.0,106.0,3199.99,5266.979112126084,92.9,Polygon(28 Points),5253.26125622437,5068.173362913585,5253.26125622437,26.55837330629958
93.0,357.0,3200.0,5502.063386804853,93.4,Polygon(25 Points),5442.523001524594,5484.3300665952065,5484.3300665952065,20.963658156753255
94.0,106.0,3199.99,11601.601653037,53.1,Polygon(208 Points),11571.385262138654,11163.691219067965,11571.385262138654,61.67624323430297
95.0,106.0,3199.99,6377.51024684235,60.7,Polygon(226 Points),6360.900010743926,6136.786736127289,6360.900010743926,33.556140395318984
96.0,106.0,3199.99,4657.291958502791,93.4,Polygon(191 Points),4645.162033811831,4481.499270246288,4645.162033811831,23.468886176690404
97.0,106.0,3199.99,11735.927995640497,32.8,Polygon(103 Points),11705.3617515583,11292.947321480307,11705.3617515583,64.16717617897615
98.0,357.0,3200.0,7286.064635919901,97.4,Polygon(219 Points),7207.218743915109,7262.5814245910715,7262.5814245910715,27.618121187255593
99.0,357.0,3200.0,4576.370803163234,98.2,Polygon(149 Points),4526.847767594592,4561.621018737779,4561.621018737779,17.329084815305837
100.0,106.0,3199.99,6572.4506714518775,80.0,Polygon(142 Points),6555.3327126917,6324.369000330016,6555.3327126917,33.70364915995205
101.0,106.0,3199.99,4737.76934794438,75.2,Polygon(113 Points),4725.429819758095,4558.938985271101,4725.429819758095,24.44978896422948
102.0,106.0,3199.99,6682.483177428826,100.7,Polygon(100 Points),6665.078638822903,6430.248253688567,6665.078638822903,33.35929601666737
103.0,106.0,3199.99,5185.118205570064,40.8,Polygon(34 Points),5171.613556536314,4989.402352579409,5171.613556536314,28.035419948097967
104.0,106.0,3199.99,25149.010626958938,18.2,Polygon(33 Points),25083.50998674242,24199.743923368875,25083.50998674242,140.37967811825763
105.0,106.0,3199.99,17186.8076946231,10.5,Polygon(26 Points),17142.044625253315,16538.079817112794,17142.044625253315,97.00513335958546
106.0,106.0,3199.99,150057.1361420696,0.0,Polygon(77 Points),149666.31208015495,144393.12632917252,149666.31208015495,860.0246977664939
107.0,106.0,3199.99,3484.3242421085906,10.9,Polygon(37 Points),3475.249313795689,3352.8060270739284,3475.249313795689,19.654706012415467
108.0,106.0,3199.99,15975.662892812106,48.9,Polygon(231 Points),15934.054252103168,15372.650508870876,15934.054252103168,85.4189286173308
109.0,106.0,3199.99,15433.203325401944,26.1,Polygon(156 Points),15393.007521543088,14850.666450936,15393.007521543088,85.18302306513894
110.0,106.0,3199.99,10894.062411070061,16.8,Polygon(68 Points),10865.688807310124,10482.858532434162,10865.688807310124,60.931925067543446
111.0,106.0,3199.99,22708.49095459762,22.1,Polygon(156 Points),22649.346651947293,21851.343344628902,22649.346651947293,126.05279631278147
112.0,106.0,3199.99,8207.69934495254,47.1,Polygon(158 Points),8186.322378288778,7897.894087926268,8186.322378288778,43.99369880753635
113.0,106.0,3199.99,12468.456138443216,26.0,Polygon(151 Points),12435.98202358861,11997.82568570049,12435.98202358861,68.82895298114977
114.0,106.0,3199.99,8007.699150581775,46.6,Polygon(104 Points),7986.843084758568,7705.44303845205,7986.843084758568,42.95122326075619
115.0,164.0,4800.0,12046.82004358482,39.9,Polygon(36 Points),11991.223349711381,12022.653214471438,12022.653214471438,50.95531894861273
116.0,106.0,3199.99,6369.395087341838,92.1,Polygon(35 Points),6352.805987189899,6128.977888903729,6352.805987189899,32.150506446576216
117.0,106.0,3199.99,33181.982443190056,91.3,Polygon(38 Points),33095.559914450394,31929.505693322808,33095.559914450394,167.66491001515217
118.0,164.0,4800.0,14212.643674846728,44.1,Polygon(163 Points),14147.051593561886,14184.132040266253,14184.132040266253,59.76756954328731
119.0,164.0,4800.0,13340.86887824182,95.0,Polygon(170 Points),13279.300082464526,13314.106089618923,13314.106089618923,52.41694291601576
120.0,164.0,4800.0,6989.512896360591,118.2,Polygon(148 Points),6957.255934986762,6975.491406611346,6975.491406611346,26.663948518639064
